date,BTC,ETH,SOL,XMR
2020-08-11,11392.08,379.0,3.2985,87.42
2020-08-12,11564.33,387.18,3.7558,89.57
2020-08-13,11780.0,424.54,3.73,92.2
2020-08-14,11760.54,438.11,3.4099,91.59
2020-08-15,11852.4,432.32,3.173,89.88
2020-08-16,11911.0,433.62,3.3885,91.34
2020-08-17,12281.13,430.89,3.11,93.55
2020-08-18,11945.01,421.95,3.3407,93.59
2020-08-19,11754.59,407.46,2.8868,91.22
2020-08-20,11853.55,415.94,3.2038,101.57
2020-08-21,11531.34,387.97,2.9317,92.24
2020-08-22,11662.96,395.24,3.0126,94.45
2020-08-23,11648.13,390.71,3.25,91.17
2020-08-24,11748.2,407.68,3.3405,93.84
2020-08-25,11318.42,382.93,3.25,88.56
2020-08-26,11461.43,385.81,3.5684,88.93
2020-08-27,11330.38,383.27,3.4501,89.71
2020-08-28,11526.91,395.11,4.0063,94.59
2020-08-29,11465.84,398.65,3.9535,92.6
2020-08-30,11711.16,428.94,4.4309,96.27
2020-08-31,11649.51,433.79,4.7435,93.33
2020-09-01,11921.97,475.4,4.3397,96.94
2020-09-02,11388.54,439.5,4.17,91.27
2020-09-03,10140.85,381.4,3.5051,77.74
2020-09-04,10446.25,385.26,3.5301,82.06
2020-09-05,10166.69,335.01,2.6052,77.53
2020-09-06,10256.2,352.8,3.0941,80.19
2020-09-07,10373.44,353.59,2.9237,82.46
2020-09-08,10126.65,337.39,2.468,84.06
2020-09-09,10219.2,350.85,3.6001,84.16
2020-09-10,10336.87,367.93,3.4761,85.57
2020-09-11,10387.89,373.63,3.3965,84.05
2020-09-12,10440.92,387.78,3.3316,86.58
2020-09-13,10332.83,366.42,3.2603,86.11
2020-09-14,10671.77,377.12,3.2641,91.77
2020-09-15,10785.31,364.06,2.9295,91.15
2020-09-16,10954.01,365.11,2.5327,88.19
2020-09-17,10939.99,389.36,2.8829,92.76
2020-09-18,10933.39,384.39,3.1144,92.39
2020-09-19,11080.65,385.25,3.031,94.45
