date;open;high;low;close
21/05/2014;2.47372;2.63768;1.31906;1.72022
22/05/2014;1.72022;2.18888;1.4547;2.14173
23/05/2014;2.14173;3.34907;2.09236;2.86743
24/05/2014;2.86743;4.01424;2.63693;3.69563
25/05/2014;3.69563;4.04303;2.87864;2.92405
26/05/2014;2.92405;3.74729;2.3178;3.08287
27/05/2014;3.08287;3.08287;2.09827;2.24075
28/05/2014;2.24075;2.8469;1.97327;2.33006
29/05/2014;2.33006;2.49409;1.70455;1.70455
30/05/2014;1.70455;1.82168;1.18533;1.60583
31/05/2014;1.60583;2.23381;1.46773;2.01206
01/06/2014;2.01206;2.50992;1.54776;1.7714
02/06/2014;1.7714;1.90872;1.61768;1.72511
03/06/2014;1.72511;2.09206;1.65648;2.00056
04/06/2014;2.00056;2.00056;1.71594;1.80525
06/06/2014;1.80525;1.80525;1.18266;1.30505
07/06/2014;1.30505;1.68938;1.22592;1.36037
08/06/2014;1.36037;1.43844;1.26009;1.37939
09/06/2014;1.37939;1.6408;1.26943;1.54004
10/06/2014;1.54004;2.39262;1.39748;1.74992
11/06/2014;1.74992;2.10205;1.55122;1.58661
12/06/2014;1.58661;2.17182;1.53146;1.7349
13/06/2014;1.7349;1.92854;1.66839;1.92854
14/06/2014;1.92854;2.72377;1.90716;2.36069
15/06/2014;2.36069;2.74163;2.29166;2.67546
16/06/2014;2.67546;3.5252;2.67546;3.16146
17/06/2014;3.16146;3.3004;2.82401;2.82401
18/06/2014;2.82401;2.98466;2.48792;2.79079
19/06/2014;2.79079;3.5247;2.68573;3.05224
20/06/2014;3.05224;4.16172;3.05224;4.16172
21/06/2014;4.16172;5.67054;4.16172;5.04857
22/06/2014;5.04857;5.18766;4.1508;4.3178
23/06/2014;4.3178;4.7983;3.89166;3.96174
24/06/2014;3.96174;4.06782;3.0678;3.18534
25/06/2014;3.18534;3.27873;2.699;3.03809
26/06/2014;3.03809;3.29177;2.82946;2.88157
27/06/2014;2.88157;3.00435;2.15489;2.24062
28/06/2014;2.24062;2.89918;2.24062;2.5535
29/06/2014;2.5535;2.75493;2.28376;2.55834
30/06/2014;2.55834;2.70144;2.46646;2.46646
01/07/2014;2.46646;2.64755;2.36238;2.37872
02/07/2014;2.37872;2.54364;2.27287;2.33091
03/07/2014;2.33091;2.82133;2.27929;2.66076
04/07/2014;2.66076;2.99797;2.55354;2.65205
05/07/2014;2.65205;2.65205;2.45364;2.4683
06/07/2014;2.4683;2.4683;2.30292;2.40027
07/07/2014;2.40027;2.40027;1.96226;1.99011
08/07/2014;1.99011;2.3227;1.97409;2.3227
09/07/2014;2.3227;2.36162;2.01053;2.01177
10/07/2014;2.01177;2.08474;1.86918;1.90656
11/07/2014;1.90656;1.9117;1.73456;1.85009
12/07/2014;1.85009;1.93637;1.72403;1.73766
13/07/2014;1.73766;1.97476;1.48597;1.76075
14/07/2014;1.76075;1.97349;1.62174;1.97224
15/07/2014;1.97224;2.19595;1.79011;2.11294
16/07/2014;2.11294;2.91209;2.05077;2.81869
17/07/2014;2.81869;3.57065;2.65179;2.9725
18/07/2014;2.9725;3.28169;2.46266;2.61069
19/07/2014;2.61069;3.0686;2.57382;2.91851
