date,p_BTC,p_ETH,p_SOL,y_BTC,y_ETH,y_SOL
2021-12-29,0.537188,0.50692123,0.53919536,0.0,0.0,0.0
2021-12-30,0.5326019,0.5112614,0.53054625,0.0,0.0,0.0
2021-12-31,0.5315174,0.50919926,0.5268074,0.0,0.0,0.0
2022-01-01,0.5263764,0.51257575,0.5202077,0.0,0.0,0.0
2022-01-02,0.53187966,0.51333034,0.53621346,0.0,0.0,0.0
2022-01-03,0.5367196,0.50902945,0.54710335,0.0,0.0,0.0
2022-01-04,0.53862476,0.5079768,0.55116093,0.0,0.0,0.0
2022-01-05,0.5387666,0.493956,0.54961437,0.0,0.0,0.0
2022-01-06,0.53829706,0.4937201,0.5389997,0.0,0.0,0.0
2022-01-07,0.5407119,0.48572484,0.53186184,0.0,0.0,0.0
2022-01-08,0.53470135,0.49072292,0.52110606,0.0,0.0,0.0
2022-01-09,0.5361114,0.4967158,0.5158423,0.0,0.0,0.0
2022-01-10,0.53555065,0.494397,0.51649517,0.0,0.0,0.0
2022-01-11,0.53195393,0.5003274,0.5087038,0.0,0.0,0.0
2022-01-12,0.52578497,0.50896764,0.51331687,0.0,0.0,0.0
2022-01-13,0.52418214,0.50412,0.5221166,0.0,0.0,0.0
2022-01-14,0.5253978,0.50996614,0.52076805,0.0,0.0,0.0
2022-01-15,0.52890056,0.50692606,0.52259547,0.0,0.0,0.0
2022-01-16,0.5310736,0.50496167,0.52363145,0.0,0.0,0.0
2022-01-17,0.53399277,0.495671,0.5274531,0.0,0.0,0.0
2022-01-18,0.53437877,0.49818203,0.5225064,0.0,0.0,0.0
2022-01-19,0.53720164,0.49255815,0.52229613,0.0,0.0,0.0
2022-01-20,0.54008645,0.48880932,0.52071166,0.0,0.0,0.0
2022-01-21,0.5316206,0.46557048,0.52553385,0.0,0.0,0.0
2022-01-22,0.5467114,0.46428776,0.50746727,0.0,0.0,0.0
2022-01-23,0.53387576,0.47758105,0.4689187,0.0,0.0,0.0
2022-01-24,0.5409921,0.48109686,0.4605614,0.0,0.0,0.0
2022-01-25,0.53710145,0.48525178,0.44883344,0.0,0.0,0.0
2022-01-26,0.53359663,0.48652998,0.4468363,0.0,0.0,0.0
2022-01-27,0.541016,0.48336455,0.45375526,0.0,0.0,0.0
2022-01-28,0.53636044,0.48669213,0.4563103,0.0,0.0,0.0
2022-01-29,0.53226864,0.49003705,0.45881766,0.0,0.0,0.0
2022-01-30,0.5415412,0.48872426,0.4656852,0.0,0.0,0.0
2022-01-31,0.53945255,0.49129927,0.46302316,0.0,0.0,0.0
2022-02-01,0.53819025,0.49552706,0.46211872,0.0,0.0,0.0
2022-02-02,0.5463651,0.48870206,0.4716659,0.0,0.0,0.0
2022-02-03,0.5445788,0.4902629,0.4731524,0.0,0.0,0.0
2022-02-04,0.52263576,0.50544137,0.48041043,0.0,0.0,0.0
2022-02-05,0.53252023,0.51140803,0.50494516,0.0,0.0,0.0
2022-02-06,0.53243166,0.5231472,0.52905583,0.0,0.0,0.0
2022-02-07,0.5301126,0.53813684,0.5499841,0.0,0.0,0.0
2022-02-08,0.5352199,0.5440254,0.56578827,0.0,0.0,0.0
2022-02-09,0.5323445,0.5563521,0.5751197,0.0,0.0,0.0
2022-02-10,0.53478116,0.5490724,0.58364314,0.0,0.0,0.0
2022-02-11,0.5424797,0.5395747,0.575038,0.0,0.0,0.0
2022-02-12,0.5378837,0.54271096,0.5619882,1.0,0.0,0.0
2022-02-13,0.5388041,0.53957343,0.55508316,1.0,0.0,0.0
2022-02-14,0.5336029,0.5437786,0.54748446,1.0,0.0,0.0
2022-02-15,0.52416766,0.552918,0.5438997,1.0,0.0,0.0
2022-02-16,0.529323,0.5474882,0.5586512,1.0,0.0,0.0
2022-02-17,0.5351738,0.52344865,0.5659136,1.0,1.0,1.0
2022-02-18,0.53762054,0.5252408,0.5676247,1.0,1.0,1.0
2022-02-19,0.5326429,0.53557485,0.5648931,1.0,1.0,1.0
2022-02-20,0.5267174,0.5390319,0.5789964,1.0,1.0,1.0
2022-02-21,0.53355765,0.5432606,0.5968392,1.0,1.0,1.0
2022-02-22,0.52971536,0.56340957,0.58913565,1.0,1.0,1.0
2022-02-23,0.5285671,0.5622857,0.5983516,1.0,1.0,1.0
