date,p_BTC,p_ETH,p_SOL,y_BTC,y_ETH,y_SOL
2021-12-29,0.52189654,0.55943793,0.5512418,0.0,0.0,0.0
2021-12-30,0.52312905,0.5592175,0.5465609,0.0,0.0,0.0
2021-12-31,0.5218036,0.5559275,0.54749525,0.0,0.0,0.0
2022-01-01,0.5215347,0.5592659,0.5417965,0.0,0.0,0.0
2022-01-02,0.5187387,0.56065965,0.5451454,0.0,0.0,0.0
2022-01-03,0.51768374,0.5628591,0.54957527,0.0,0.0,0.0
2022-01-04,0.5182949,0.56371146,0.5511319,0.0,0.0,0.0
2022-01-05,0.52208835,0.5580049,0.5538087,0.0,0.0,0.0
2022-01-06,0.525466,0.5556697,0.5522405,0.0,0.0,0.0
2022-01-07,0.5298865,0.55338776,0.55409104,0.0,0.0,0.0
2022-01-08,0.52844995,0.55110264,0.54663134,0.0,0.0,0.0
2022-01-09,0.5278838,0.5519477,0.5448323,0.0,0.0,0.0
2022-01-10,0.5285183,0.55127186,0.5453001,0.0,0.0,0.0
2022-01-11,0.5276666,0.5482187,0.54137087,0.0,0.0,0.0
2022-01-12,0.5227205,0.5524278,0.5380446,0.0,0.0,0.0
2022-01-13,0.5225214,0.5494333,0.54236394,0.0,0.0,0.0
2022-01-14,0.5245245,0.54822135,0.54120505,0.0,0.0,0.0
2022-01-15,0.52308995,0.5474767,0.5420931,0.0,0.0,0.0
2022-01-16,0.5222886,0.54935175,0.5437631,0.0,0.0,0.0
2022-01-17,0.52499217,0.5491462,0.5475771,0.0,0.0,0.0
2022-01-18,0.5255598,0.54892844,0.5449372,0.0,0.0,0.0
2022-01-19,0.52550185,0.55064964,0.5492084,0.0,0.0,0.0
2022-01-20,0.527454,0.5504802,0.5509212,0.0,0.0,0.0
2022-01-21,0.53478855,0.53265375,0.5411033,0.0,0.0,0.0
2022-01-22,0.54043907,0.5321539,0.5397755,0.0,0.0,0.0
2022-01-23,0.5348883,0.5240552,0.5278826,0.0,0.0,0.0
2022-01-24,0.5349734,0.52557105,0.52452546,0.0,0.0,0.0
2022-01-25,0.53004146,0.518235,0.51798105,0.0,0.0,0.0
2022-01-26,0.5286302,0.51463526,0.5182135,0.0,0.0,0.0
2022-01-27,0.5281191,0.51599044,0.5188369,0.0,0.0,0.0
2022-01-28,0.524705,0.5149571,0.5185979,0.0,0.0,0.0
2022-01-29,0.5216709,0.51415867,0.51546574,0.0,0.0,0.0
2022-01-30,0.52085537,0.51533455,0.5193138,0.0,0.0,0.0
2022-01-31,0.5196544,0.5151723,0.5162082,0.0,0.0,0.0
2022-02-01,0.5166482,0.5158463,0.51285386,0.0,0.0,0.0
2022-02-02,0.515725,0.5201377,0.5189705,0.0,0.0,0.0
2022-02-03,0.51834434,0.5213343,0.51985395,0.0,0.0,0.0
2022-02-04,0.5102378,0.5389978,0.51418585,0.0,0.0,0.0
2022-02-05,0.50574404,0.5390689,0.5211183,0.0,0.0,0.0
2022-02-06,0.50099236,0.5523571,0.52912194,0.0,0.0,0.0
2022-02-07,0.49457878,0.565337,0.5356254,0.0,0.0,0.0
2022-02-08,0.49359548,0.5711082,0.5451795,0.0,0.0,0.0
2022-02-09,0.48933277,0.5762366,0.5493533,0.0,0.0,0.0
2022-02-10,0.4971957,0.5728934,0.5550102,0.0,0.0,0.0
2022-02-11,0.50567883,0.5662778,0.5542551,0.0,0.0,0.0
2022-02-12,0.5051387,0.5632398,0.548941,1.0,0.0,0.0
2022-02-13,0.5071152,0.5605756,0.5469659,1.0,0.0,0.0
2022-02-14,0.50510603,0.55904967,0.54110855,1.0,0.0,0.0
2022-02-15,0.49980488,0.5619615,0.5337724,1.0,0.0,0.0
2022-02-16,0.49626598,0.5591051,0.5441086,1.0,0.0,0.0
2022-02-17,0.5010163,0.54235655,0.54767996,1.0,1.0,1.0
2022-02-18,0.5050243,0.54836917,0.5514574,1.0,1.0,1.0
2022-02-19,0.5051544,0.5546463,0.5495605,1.0,1.0,1.0
2022-02-20,0.49939087,0.5582178,0.55510616,1.0,1.0,1.0
2022-02-21,0.49694026,0.5645012,0.56395906,1.0,1.0,1.0
2022-02-22,0.49604288,0.57532465,0.5555236,1.0,1.0,1.0
2022-02-23,0.49505138,0.5751755,0.5595192,1.0,1.0,1.0
2022-02-24,0.4938023,0.5836941,0.55235034,1.0,1.0,1.0
2022-02-25,0.48650047,0.58590823,0.5516161,1.0,1.0,1.0
2022-02-26,0.48612675,0.5844879,0.55778396,1.0,1.0,1.0
2022-02-27,0.49370414,0.5751402,0.55947125,1.0,1.0,1.0
2022-02-28,0.48624954,0.58872217,0.5318952,1.0,1.0,1.0
2022-03-01,0.4858017,0.58171254,0.53391993,1.0,1.0,1.0
2022-03-02,0.48664656,0.5754443,0.5351957,1.0,1.0,1.0
2022-03-03,0.48982462,0.56709164,0.54027504,1.0,1.0,1.0
2022-03-04,0.49552912,0.5513164,0.5444114,1.0,1.0,1.0
2022-03-05,0.497525,0.5510855,0.53792953,1.0,1.0,1.0
2022-03-06,0.50492877,0.5417549,0.5366225,1.0,1.0,1.0
2022-03-07,0.50824374,0.5347798,0.534927,1.0,1.0,1.0
2022-03-08,0.50918406,0.532619,0.5312302,1.0,1.0,1.0
2022-03-09,0.50914973,0.5400574,0.5214171,1.0,1.0,1.0
2022-03-10,0.507412,0.5206979,0.5276033,1.0,1.0,1.0
2022-03-11,0.51016915,0.51907164,0.5278926,1.0,1.0,1.0
